Symbol,EarningsPerShare,PriceEarningsRatio,DebtEquityRatio,ReturnOnEquity,QuickRatio,WorkingCapitalRatio
CPHC,1.264,10.8672,0.0026,0.1224,1.4875,1.2054
CPSH,-0.2807,0.0,0.0,-0.6351,1.3865,2.6477
CPSS,0.6579,4.4265,15.4063,0.0754,2.9392,2.9782
CSPI,3.4456,3.6934,0.0,0.4095,2.738,3.4432
CSWC,2.4283,6.8612,0.3091,0.1275,2.9008,3.0499
CTIB,-1.0157,0.0,3.2693,-0.4893,0.3727,1.0928
CTXR,-0.7739,0.0,0.0062,-0.4499,3.1413,3.1587
CUI,-0.6068,0.0,0.0324,-0.4171,0.5302,1.909
CUO,-3.4491,0.0,0.0451,-0.1201,0.8316,2.3448
CVLY,2.1818,9.7299,0.6434,0.1093,0.063,0.0704
CVM,-1.353,0.0,0.0,-34772.4596,1.3114,1.2397
CVR,2.0713,15.2174,0.0,0.0672,5.1833,7.7904
CWBC,0.8948,11.2697,1.5167,0.0973,0.0752,0.1392
CXDC,1.3541,1.7087,1.1236,0.0912,0.4151,0.887
CYAN,0.1782,28.6111,0.3836,0.0566,0.7111,2.386
CYRN,-0.3637,0.0,0.3139,-0.6094,1.3933,1.5026
CYTR,-0.378,0.0,0.0,-0.6244,8.3949,8.7828
CZNC,1.7899,14.7654,0.3445,0.1115,0.0391,0.0402
DAC,-4.1995,0.0,2.3477,-0.0477,0.4691,0.5377
DARE,-1.4655,0.0,0.0,-2.4884,6.2663,6.6358
DGLY,-1.4911,0.0,-6.4737,11.0075,1.2623,2.8807
DGSE,0.0244,23.0,0.0,0.0782,0.3362,2.4746
DHXM,-0.4649,0.0,2.7504,-0.0446,1.061,1.6497
DIT,5.868,15.5393,0.622,0.056,0.9275,3.3686
DJCO,5.9395,43.3838,0.193,0.0503,8.3061,8.3365
DLHC,0.1543,39.0,0.1765,0.0466,1.0441,1.0918
DLNG,0.1019,0.0,2.1833,0.0111,0.4134,0.4142
DLPN,-0.2063,0.0,0.8589,-0.2703,0.4307,0.459
DMLP,1.6091,9.0932,0.0,0.6221,61.9712,61.9712
DMPI,-5.1401,0.0,0.0,-2.0493,3.6448,4.3005
DNJR,-0.2635,0.0,0.0,-0.2951,7.6303,14.0463
DOGZ,0.2002,18.9886,0.0796,0.0758,4.567,5.1674
DSWL,0.3897,7.8205,0.0,0.0762,2.9275,3.7561
DTEA,-1.1028,0.0,0.0,-0.2812,2.719,4.1529
DVCR,-1.1347,0.0,-61.2963,6.1736,0.997,1.1449
